"lab","sample","concentration","method","transit_time"
1,546,43,"LC-MS-MS",1
1,547,72,"LC-MS-MS",1
1,548,88,"LC-MS-MS",1
1,549,61,"LC-MS-MS",1
1,550,20,"LC-MS-MS",1
2,546,51,"Roche Vitamin D Total II",1
2,547,74,"Roche Vitamin D Total II",1
2,548,88,"Roche Vitamin D Total II",1
2,549,62,"Roche Vitamin D Total II",1
2,550,24,"Roche Vitamin D Total II",1
3,546,54.2,"LC-MS-MS",1
3,547,79.2,"LC-MS-MS",1
3,548,86.9,"LC-MS-MS",1
3,549,65.9,"LC-MS-MS",1
3,550,25.4,"LC-MS-MS",1
4,546,51,"LC-MS-MS",1
4,547,74,"LC-MS-MS",1
4,548,92,"LC-MS-MS",1
4,549,61,"LC-MS-MS",1
4,550,22,"LC-MS-MS",1
5,546,52.6,"Siemens ADVIA Centaur",1
5,547,63.4,"Siemens ADVIA Centaur",1
5,548,84.2,"Siemens ADVIA Centaur",1
5,549,63,"Siemens ADVIA Centaur",1
5,550,30.5,"Siemens ADVIA Centaur",1
6,546,55.3,"LC-MS-MS",1
6,547,72.2,"LC-MS-MS",1
6,548,95.2,"LC-MS-MS",1
6,549,62.4,"LC-MS-MS",1
6,550,27.5,"LC-MS-MS",1
7,546,64.2,"Roche Total 25OHD",3
7,547,89.6,"Roche Total 25OHD",3
7,548,102,"Roche Total 25OHD",3
7,549,78.6,"Roche Total 25OHD",3
7,550,34.7,"Roche Total 25OHD",3
8,546,48,"LC-MS-MS",9
8,547,66,"LC-MS-MS",9
8,548,82,"LC-MS-MS",9
8,549,60,"LC-MS-MS",9
8,550,22,"LC-MS-MS",9
9,546,55,"DiaSorin Liaison Total",22
9,547,73.5,"DiaSorin Liaison Total",22
9,548,91.8,"DiaSorin Liaison Total",22
9,549,67,"DiaSorin Liaison Total",22
9,550,26.8,"DiaSorin Liaison Total",22
10,546,50,"DiaSorin Liaison Total",8
10,547,75,"DiaSorin Liaison Total",8
10,548,88,"DiaSorin Liaison Total",8
10,549,63,"DiaSorin Liaison Total",8
10,550,27,"DiaSorin Liaison Total",8
11,546,61,"Roche Total 25OHD",8
11,547,83,"Roche Total 25OHD",8
11,548,100,"Roche Total 25OHD",8
11,549,60,"Roche Total 25OHD",8
11,550,24,"Roche Total 25OHD",8
12,546,51,"Abbott Architect - New (5P02)",10
12,547,70,"Abbott Architect - New (5P02)",10
12,548,96,"Abbott Architect - New (5P02)",10
12,549,62,"Abbott Architect - New (5P02)",10
12,550,24,"Abbott Architect - New (5P02)",10
13,546,38.1,"LC-MS-MS",7
13,547,53.3,"LC-MS-MS",7
13,548,59.8,"LC-MS-MS",7
13,549,42.5,"LC-MS-MS",7
13,550,13,"LC-MS-MS",7
14,546,54.6,"IDS RIA",1
